periodID,statefips,emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020_1_21,2,0.203,0.00392,0.00231,0.00182,-0.000021
2020_1_21,4,-0.0489,0.00145,-0.0105,0.00214,0.00235
2020_1_21,5,-0.455,0.000819,-0.0018,.,-0.0255
2020_1_21,6,0.353,0.00181,0.00399,0.00596,0.000764
2020_1_21,8,0.309,0.00372,7.00E-04,0.00163,0.00306
2020_1_21,9,0.165,0.000549,0.00512,0.00145,0.00152
2020_1_21,10,0.0838,-0.000672,-6.90E-04,-0.00333,0.00397
2020_1_21,12,0.255,0.000355,0.00358,0.00438,0.000375
2020_1_21,13,0.146,0.000843,8.08E-04,0.00314,0.000703
2020_1_21,15,1.16,0.00916,0.0178,-0.00134,0.000319
2020_1_21,16,0.196,-0.00206,0.0025,0.00873,0.00123
2020_1_21,17,0.212,0.00281,0.00374,0.00345,-0.00483
2020_1_21,18,0.364,0.00262,0.0013,0.00559,0.0033
2020_1_21,19,0.26,0.000701,0.0107,-0.00855,0.00427
2020_1_21,20,0.192,0.00044,0.00796,0.00239,0.00129
2020_1_21,21,0.262,-0.0012,0.009,0.000505,0.0063
2020_1_21,22,0.258,-0.00222,0.00116,0.00462,0.00463
2020_1_21,23,0.252,0.00725,0.00211,0.00108,-0.000298
2020_1_21,24,0.229,0.00198,0.00502,0.00226,-0.000342
2020_1_21,25,0.244,0.00177,0.00233,0.00282,0.00404
2020_1_21,26,0.225,-0.000286,-0.00128,0.005,0.00351
2020_1_21,27,0.271,0.00237,0.00252,0.00185,0.00832
2020_1_21,28,0.269,0.0138,0.00516,0.00214,-0.014
2020_1_21,29,0.18,0.00124,0.00297,-0.0000614,-0.00156
2020_1_21,30,0.378,0.00436,0.0128,-0.0156,0.00348
2020_1_21,31,-0.137,-0.000502,-0.0118,0.00346,-0.00232
2020_1_21,32,0.202,-0.000409,0.001,0.00864,-0.00348
2020_1_21,33,0.254,0.000665,0.0053,0.00485,0.000211
2020_1_21,34,0.221,0.000867,0.0021,0.00399,0.00143
2020_1_21,35,0.363,0.0059,0.00146,0.00842,-0.00368
2020_1_21,36,0.3,0.003,0.00286,0.00323,0.00182
2020_1_21,37,0.206,-0.000629,0.00326,0.00417,0.00302
2020_1_21,38,0.621,0.00937,0.0044,0.007,.
2020_1_21,39,0.0772,0.00116,0.00161,0.00178,0.000249
2020_1_21,40,0.316,0.00155,0.00878,0.00344,0.00475
2020_1_21,41,0.283,0.00132,0.00313,0.00353,0.0017
2020_1_21,42,0.138,-0.000887,0.00261,0.00178,0.000475
2020_1_21,44,0.355,0.000489,0.00611,0.0043,0.00584
2020_1_21,45,0.23,-0.0000231,0.00228,0.00506,0.00044
2020_1_21,46,0.557,.,3.20E-04,.,0.000652
2020_1_21,47,0.149,-0.000107,0.00226,-0.000607,0.0062
2020_1_21,48,0.22,0.00138,0.00421,0.00179,0.000693
2020_1_21,49,0.4,0.00355,0.00236,0.00575,0.00346
2020_1_21,50,-0.00732,-0.00355,1.87E-04,0.0118,-0.00332
2020_1_21,51,0.119,0.000391,9.22E-04,0.00104,0.0059
2020_1_21,53,0.406,0.00397,0.00274,0.00994,0.00347
2020_1_21,54,0.484,0.00231,0.00244,0.000241,0.0128
2020_1_21,55,0.256,0.00238,0.00404,-0.00025,0.005
2020_1_21,56,0.545,0.000347,-0.0102,0.00289,0.011
2020_1_22,1,0.244,-0.00165,9.94E-04,0.00608,0.00245
2020_1_22,2,0.251,0.00423,0.00263,0.00328,-0.0000958
2020_1_22,4,0.0102,0.00154,-0.0105,0.00278,0.00298
2020_1_22,5,-0.254,0.000107,1.93E-05,.,-0.0174
2020_1_22,6,0.445,0.00204,0.00469,0.00728,0.00184
2020_1_22,8,0.38,0.00427,0.00208,0.00285,0.00357
2020_1_22,9,0.207,0.00098,0.00554,0.000878,0.00134
2020_1_22,10,0.155,0.000166,0.00148,-0.00397,0.00404
2020_1_22,12,0.345,0.00143,0.00397,0.00542,0.00172
2020_1_22,13,0.214,0.00138,0.00106,0.00401,0.00136
2020_1_22,15,1.35,0.00998,0.0164,0.00173,0.000734
2020_1_22,16,0.451,-0.00169,0.0054,0.0143,0.00637
2020_1_22,17,0.291,0.00358,0.0048,0.00409,-0.00279
2020_1_22,18,0.394,0.00345,7.88E-04,0.00654,0.00348
2020_1_22,19,0.36,0.0032,0.0121,-0.00951,0.00492
2020_1_22,20,0.166,-0.00172,0.0107,0.00338,0.00112
2020_1_22,21,0.351,-0.00133,0.0103,0.00169,0.00612
2020_1_22,22,0.369,-0.00189,1.00E-06,0.00614,0.00524
2020_1_22,23,0.29,0.00776,0.00282,0.00161,-0.00144
2020_1_22,24,0.208,0.00228,0.00315,0.0029,-0.000473
2020_1_22,25,0.274,0.00158,0.00306,0.00299,0.00416
